"ticker","id","country","type_label"
"BRKS US Equity","Brooks Automation Inc","US","Semiconductors & Semiconductor"
"6264 JP Equity","Marumae Co Ltd","JP","Capital Goods"
"1701392Z GR Equity","Carl Zeiss SMT AG","DE","#N/A N/A"
"BHE US Equity","Benchmark Electronics Inc","US","Technology Hardware & Equipmen"
"ARNC US Equity","Arconic Inc","US","Capital Goods"
"SNR LN Equity","Senior PLC","GB","Capital Goods"
"FDX US Equity","FedEx Corp","US","Transportation"
"DCO US Equity","Ducommun Inc","US","Capital Goods"
"FII FP Equity","LISI","FR","Capital Goods"
"CTSH US Equity","Cognizant Technology Solutions Corp","US","Software & Services"
"IDTI US Equity","Integrated Device Technology Inc","US","Semiconductors & Semiconductor"
"VLX LN Equity","Volex PLC","GB","Capital Goods"
"SABIC AB Equity","Saudi Basic Industries Corp","SA","Materials"
"1517793D KS Equity","SK Shipping Co Ltd","KR","#N/A N/A"
"JMAT LN Equity","Johnson Matthey PLC","GB","Materials"
"028100 KS Equity","Dong-Ah Geological Engineering Co Ltd","KR","Capital Goods"
"MROZKZ KS Equity","HappyNarae Co Ltd","KR","#N/A N/A"
"011390 KS Equity","Busan Industrial Co Ltd","KR","Materials"
"4063 JP Equity","Shin-Etsu Chemical Co Ltd","JP","Materials"
"4005 JP Equity","Sumitomo Chemical Co Ltd","JP","Materials"
"HEN3 GR Equity","Henkel AG & Co KGaA","DE","Household & Personal Products"
"992 HK Equity","Lenovo Group Ltd","CN","Technology Hardware & Equipmen"
"3336 HK Equity","Ju Teng International Holdings Ltd","HK","Technology Hardware & Equipmen"
"5469 TT Equity","Hannstar Board Corp","TW","Technology Hardware & Equipmen"
"FNSR US Equity","Finisar Corp","US","Technology Hardware & Equipmen"
"001230 KS Equity","Dongkuk Steel Mill Co Ltd","KR","Materials"
"4186 JP Equity","Tokyo Ohka Kogyo Co Ltd","JP","Materials"
"006380 KS Equity","Capro Corp","KR","Materials"
"5444 JP Equity","Yamato Kogyo Co Ltd","JP","Materials"
"076610 KS Equity","Haesung Optics Co Ltd","KR","Technology Hardware & Equipmen"
"028050 KS Equity","Samsung Engineering Co Ltd","KR","Capital Goods"
"082210 KS Equity","OPTRON-TEC Inc","KR","Technology Hardware & Equipmen"
"000880 KS Equity","Hanwha Corp","KR","Capital Goods"
"UMI BB Equity","Umicore SA","BE","Materials"
"DD US Equity","DuPont de Nemours Inc","US","Materials"
"018260 KS Equity","Samsung SDS Co Ltd","KR","Software & Services"
"VIOT US Equity","Viomi Technology Co Ltd","CN","Consumer Durables & Apparel"
"002456 CH Equity","OFILM Group Co Ltd","CN","Technology Hardware & Equipmen"
"2038 HK Equity","FIH Mobile Ltd","CN","Technology Hardware & Equipmen"
"6502 JP Equity","Toshiba Corp","JP","Capital Goods"
"2329 TT Equity","Orient Semiconductor Electronics Ltd","TW","Semiconductors & Semiconductor"
"1052963D TT Equity","Kingston Solutions Inc","TW","#N/A N/A"
"HPQ US Equity","HP Inc","US","Technology Hardware & Equipmen"
"6758 JP Equity","Sony Corp","JP","Consumer Durables & Apparel"
"066570 KS Equity","LG Electronics Inc","KR","Consumer Durables & Apparel"
"ERICB SS Equity","Telefonaktiebolaget LM Ericsson","SE","Technology Hardware & Equipmen"
"NOKIA FH Equity","Nokia Oyj","FI","Technology Hardware & Equipmen"
"CCI US Equity","Crown Castle International Corp","US","Real Estate"
"HPE US Equity","Hewlett Packard Enterprise Co","US","Technology Hardware & Equipmen"
"MTZ US Equity","MasTec Inc","US","Capital Goods"
"ON US Equity","ON Semiconductor Corp","US","Semiconductors & Semiconductor"
"ESI US Equity","Element Solutions Inc","US","Materials"
"VSH US Equity","Vishay Intertechnology Inc","US","Technology Hardware & Equipmen"
"CODA US Equity","Coda Octopus Group Inc","US","Technology Hardware & Equipmen"
"6645 JP Equity","Omron Corp","JP","Technology Hardware & Equipmen"
"4182 JP Equity","Mitsubishi Gas Chemical Co Inc","JP","Materials"
"8141 JP Equity","Shinko Shoji Co Ltd","JP","Technology Hardware & Equipmen"
"0884064D LX Equity","Coveris SA","LU","#N/A N/A"
"ACETQ US Equity","Aceto Corp","US","Health Care Equipment & Servic"
"6488 TT Equity","Globalwafers Co Ltd","TW","Semiconductors & Semiconductor"
"AMLEX MK Equity","Amlex Holdings Bhd","MY","Technology Hardware & Equipmen"
"COHU US Equity","Cohu Inc","US","Semiconductors & Semiconductor"
"002079 CH Equity","Suzhou Good-Ark Electronics Co Ltd","CN","Semiconductors & Semiconductor"
"8140 JP Equity","Ryosan Co Ltd","JP","Technology Hardware & Equipmen"
"ADI US Equity","Analog Devices Inc","US","Semiconductors & Semiconductor"
"8090 JP Equity","Shoko Co Ltd","JP","Capital Goods"
"4185 JP Equity","JSR Corp","JP","Materials"
"4188 JP Equity","Mitsubishi Chemical Holdings Corp","JP","Materials"
"AIXA GR Equity","AIXTRON SE","DE","Semiconductors & Semiconductor"
"014680 KS Equity","Hansol Chemical Co Ltd","KR","Materials"
"9101 JP Equity","Nippon Yusen KK","JP","Transportation"
"4202 JP Equity","Daicel Corp","JP","Materials"
"4168 TT Equity","GlycoNex Inc","TW","Pharmaceuticals, Biotechnology"
"5406 JP Equity","Kobe Steel Ltd","JP","Materials"
"6723 JP Equity","Renesas Electronics Corp","JP","Semiconductors & Semiconductor"
"8050 JP Equity","Seiko Holdings Corp","JP","Consumer Durables & Apparel"
"MXL US Equity","MaxLinear Inc","US","Semiconductors & Semiconductor"
"EA US Equity","Electronic Arts Inc","US","Media & Entertainment"
"ATVI US Equity","Activision Blizzard Inc","US","Media & Entertainment"
"5401 JP Equity","Nippon Steel Corp","JP","Materials"
"3132 JP Equity","Macnica Fuji Electronics Holdings Inc","JP","Technology Hardware & Equipmen"
"GLW US Equity","Corning Inc","US","Technology Hardware & Equipmen"
"2408 TT Equity","Nanya Technology Corp","TW","Semiconductors & Semiconductor"
"6862 JP Equity","Minato Holdings Inc","JP","Technology Hardware & Equipmen"
"AMBA US Equity","Ambarella Inc","US","Semiconductors & Semiconductor"
"KEM US Equity","KEMET Corp","US","Technology Hardware & Equipmen"
"6954 JP Equity","FANUC Corp","JP","Capital Goods"
"603328 CH Equity","Guangdong Ellington Electronics Technology Co Ltd","CN","Technology Hardware & Equipmen"
"2449 TT Equity","King Yuan Electronics Co Ltd","TW","Semiconductors & Semiconductor"
"SIE GR Equity","Siemens AG","DE","Capital Goods"
"NXPI US Equity","NXP Semiconductors NV","NL","Semiconductors & Semiconductor"
"6807 JP Equity","Japan Aviation Electronics Industry Ltd","JP","Technology Hardware & Equipmen"
"6905 JP Equity","Cosel Co Ltd","JP","Capital Goods"
"6701 JP Equity","NEC Corp","JP","Technology Hardware & Equipmen"
"6268 JP Equity","Nabtesco Corp","JP","Capital Goods"
"8455 TT Equity","Daito Me Holdings Co Ltd","TW","Technology Hardware & Equipmen"
"002288 CH Equity","Guangdong Chaohua Technology Co Ltd","CN","Technology Hardware & Equipmen"
"5498 TT Equity","Key Ware Electronics Co Ltd","TW","Capital Goods"
"SAF FP Equity","Safran SA","FR","Capital Goods"
"HO FP Equity","Thales SA","FR","Capital Goods"
"AIR FP Equity","Airbus SE","FR","Capital Goods"
"MTX GR Equity","MTU Aero Engines AG","DE","Capital Goods"
"7013 JP Equity","IHI Corp","JP","Capital Goods"
"GE US Equity","General Electric Co","US","Capital Goods"
"SLCA US Equity","US Silica Holdings Inc","US","Energy"
"ATI US Equity","Allegheny Technologies Inc","US","Materials"
"BOOM US Equity","DMC Global Inc","US","Energy"
"CYBE US Equity","CyberOptics Corp","US","Semiconductors & Semiconductor"
"7266 JP Equity","Imasen Electric Industrial","JP","Automobiles & Components"
